formula,Nb,Mo,Ta,W,C11,C12,C44,a,b,c,G,B,E,v,Pugh,Zener
Nb5Mo75Ta2W18,5,75,2,18,465.114,182.209,110.077,63.625,63.625,63.625,121.71,276.511,318.413,0.308,2.272,0.778
Nb25Mo11Ta4W60,25,11,4,60,464.051,187.244,106.344,64.367,64.363,64.365,118.186,279.513,310.758,0.315,2.365,0.768
Nb68Mo7Ta1W24,68,7,1,24,315.672,142.649,34.956,65.45,65.457,65.461,50.737,200.323,140.362,0.383,3.948,0.404
Nb51Mo5Ta28W16,51,5,28,16,302.861,144.05,44.254,65.788,65.78,65.787,56.045,196.987,153.572,0.37,3.515,0.557
Nb49Mo27Ta12W12,49,27,12,12,354.136,153.397,54.873,65.174,65.169,65.174,70.049,220.31,190.009,0.356,3.145,0.547
Nb2Mo58Ta39W1,2,58,39,1,443.176,178.329,103.438,64.506,64.503,64.506,114.198,266.612,299.791,0.313,2.335,0.781
Nb17Mo3Ta44W36,17,3,44,36,374.095,165.313,81.963,65.219,65.215,65.214,90.302,234.907,240.134,0.33,2.601,0.785
Nb3Mo48Ta41W8,3,48,41,8,435.02,176.019,100.492,64.604,64.605,64.607,111.239,262.352,292.391,0.314,2.358,0.776
Nb7Mo65Ta12W16,7,65,12,16,469.143,185.5,111.529,63.951,63.951,63.95,122.797,280.048,321.413,0.309,2.281,0.786
Nb28Mo43Ta26W3,28,43,26,3,386.257,161.661,73.378,64.928,64.925,64.932,87.067,236.526,232.654,0.336,2.717,0.653
Nb42Mo30Ta2W26,42,30,2,26,407.382,170.345,75.482,64.701,64.709,64.704,90.503,249.357,242.206,0.338,2.755,0.637
Nb9Mo7Ta42W42,9,7,42,42,408.729,171.989,94.324,64.902,64.9,64.899,103.305,250.903,272.513,0.319,2.429,0.797
Nb9Mo52Ta9W30,9,52,9,30,482.35,190.873,117.209,63.964,63.964,63.963,127.893,288.032,334.214,0.307,2.252,0.804
Nb1Mo13Ta65W21,1,13,65,21,359.413,161.245,82.19,65.306,65.303,65.301,88.577,227.301,235.181,0.328,2.566,0.829
Nb17Mo48Ta8W27,17,48,8,27,463.476,185.686,106.347,64.157,64.156,64.156,118.356,278.283,310.981,0.314,2.351,0.766
Nb13Mo40Ta28W19,13,40,28,19,434.332,175.881,96.859,64.565,64.565,64.568,108.724,262.031,286.542,0.318,2.41,0.75
Nb5Mo38Ta19W38,5,38,19,38,490.742,193.999,122.403,64.122,64.125,64.125,132.204,292.913,344.745,0.304,2.216,0.825
Nb3Mo46Ta29W22,3,46,29,22,469.332,186.716,113.681,64.301,64.297,64.296,124.029,280.921,324.352,0.308,2.265,0.804
Nb9Mo28Ta25W38,9,28,25,38,460.942,184.435,109.294,64.402,64.402,64.402,120.083,276.604,314.708,0.31,2.303,0.791
Nb9Mo76Ta7W8,9,76,7,8,455.237,180.267,104.08,63.846,63.845,63.848,116.363,271.923,305.51,0.313,2.337,0.757
Nb71Mo18Ta9W2,71,18,9,2,281.306,131.794,22.733,65.755,65.751,65.754,37.522,181.631,105.315,0.403,4.841,0.304
Nb51Mo3Ta7W39,51,3,7,39,366.041,159.489,61.292,65.167,65.162,65.165,75.639,228.34,204.354,0.351,3.019,0.593
Nb1Mo19Ta59W21,1,19,59,21,379.276,163.469,86.085,65.113,65.116,65.107,94.236,235.405,249.425,0.323,2.498,0.798
Nb42Mo45Ta3W10,42,45,3,10,401.528,168.439,71.928,64.681,64.678,64.681,87.354,246.136,234.339,0.341,2.818,0.617
Nb1Mo53Ta34W12,1,53,34,12,461.014,183.933,110.963,64.356,64.359,64.358,121.278,276.293,317.395,0.309,2.278,0.801
Nb9Mo60Ta13W18,9,60,13,18,469.247,186.123,111.042,64.038,64.036,64.038,122.386,280.498,320.538,0.31,2.292,0.784
Nb70Mo6Ta5W19,70,6,5,19,296.075,137.04,28.955,65.648,65.641,65.638,44.006,190.052,122.558,0.393,4.319,0.364
Nb1Mo45Ta20W34,1,45,20,34,498.995,196.26,127.087,64.027,64.027,64.027,136.3,297.172,354.675,0.301,2.18,0.84
Nb20Mo7Ta50W23,20,7,50,23,344.004,158.09,71.244,65.484,65.475,65.479,79.258,220.062,212.287,0.339,2.777,0.766
Nb17Mo66Ta14W3,17,66,14,3,439.997,177.578,95.759,64.257,64.255,64.255,108.65,265.051,286.767,0.32,2.439,0.73
Nb5Mo4Ta76W15,5,4,76,15,311.939,158.701,72.448,65.79,65.791,65.794,74.089,209.781,198.856,0.342,2.831,0.946
Nb47Mo29Ta20W4,47,29,20,4,337.718,148.414,50.929,65.346,65.342,65.344,65.445,211.515,177.979,0.36,3.232,0.538
Nb7Mo20Ta52W21,7,20,52,21,381.586,163.209,83.995,65.098,65.091,65.094,93.304,236.001,247.319,0.325,2.529,0.769
Nb18Mo18Ta22W42,18,18,22,42,436.286,177.329,97.553,64.601,64.605,64.6,109.275,263.648,288.031,0.318,2.413,0.753
Nb37Mo8Ta14W41,37,8,14,41,394.513,167.144,76.971,64.957,64.955,64.951,90.023,242.933,240.377,0.335,2.699,0.677
Nb37Mo48Ta10W5,37,48,10,5,398.902,166.689,73.308,64.727,64.725,64.724,88.207,244.093,236.172,0.339,2.767,0.631
Nb53Mo25Ta7W15,53,25,7,15,355.02,153.84,53.24,65.145,65.147,65.149,68.885,220.9,187.197,0.359,3.207,0.529
Nb18Mo19Ta18W45,18,19,18,45,448.083,180.984,101.86,64.501,64.497,64.496,113.539,270.017,298.743,0.316,2.378,0.763
Nb4Mo37Ta37W22,4,37,37,22,444.028,178.78,104.033,64.549,64.548,64.548,114.66,267.196,300.934,0.312,2.33,0.784
Nb2Mo1Ta62W35,2,1,62,35,369.294,167.511,88.794,65.267,65.268,65.267,93.45,234.772,247.511,0.324,2.512,0.88
Nb35Mo49Ta10W6,35,49,10,6,404.922,168.443,76.221,64.67,64.67,64.668,90.94,247.269,243.026,0.336,2.719,0.645
Nb5Mo57Ta22W16,5,57,22,16,470.252,186.496,113.026,64.159,64.158,64.158,123.8,281.082,323.854,0.308,2.27,0.797
Nb42Mo37Ta20W1,42,37,20,1,354.947,152.896,57.455,65.171,65.173,65.174,72.158,220.247,195.161,0.352,3.052,0.569
Nb1Mo31Ta20W48,1,31,20,48,508.556,200.061,131.608,64.053,64.054,64.053,140.24,302.893,364.471,0.299,2.16,0.853
Nb31Mo15Ta53W1,31,15,53,1,297.496,145.818,51.289,65.909,65.907,65.917,60.014,196.377,163.396,0.361,3.272,0.676
Nb30Mo17Ta16W37,30,17,16,37,410.912,170.591,84.039,64.785,64.791,64.784,97.007,250.698,257.772,0.329,2.584,0.699
Nb33Mo11Ta13W43,33,11,13,43,411.05,171.395,83.63,64.805,64.809,64.808,96.617,251.28,256.922,0.33,2.601,0.698
Nb29Mo13Ta40W18,29,13,40,18,343.074,154.354,64.772,65.443,65.449,65.448,75.334,217.261,202.587,0.345,2.884,0.686
Nb38Mo35Ta8W19,38,35,8,19,403.046,168.039,75.341,64.739,64.739,64.74,90.087,246.374,240.898,0.337,2.735,0.641
Nb11Mo17Ta34W38,11,17,34,38,425.59,174.463,96.872,64.717,64.722,64.719,107.483,258.172,283.154,0.317,2.402,0.771
Nb4Mo20Ta59W17,4,20,59,17,368.214,160.767,81.401,65.211,65.209,65.204,89.699,229.916,238.129,0.327,2.563,0.785
Nb2Mo67Ta18W13,2,67,18,13,474.922,186.826,115.674,63.959,63.96,63.961,126.296,282.858,329.802,0.306,2.24,0.803
Nb48Mo25Ta17W10,48,25,17,10,343.073,150.191,52.451,65.298,65.293,65.298,67.102,214.485,182.296,0.358,3.196,0.544
Nb4Mo33Ta59W4,4,33,59,4,367.663,157.928,78.333,65.179,65.183,65.181,88.05,227.84,234.006,0.329,2.588,0.747
Nb17Mo11Ta15W57,17,11,15,57,462.198,185.662,108.428,64.414,64.413,64.414,119.518,277.84,313.59,0.312,2.325,0.784
Nb55Mo9Ta25W11,55,9,25,11,296.726,140.78,39.246,65.807,65.803,65.804,51.857,192.762,142.768,0.377,3.717,0.503
Nb22Mo23Ta50W5,22,23,50,5,336.516,152.51,63.608,65.487,65.476,65.489,73.766,213.846,198.477,0.345,2.899,0.691
Nb24Mo20Ta15W41,24,20,15,41,434.568,177.221,94.519,64.589,64.587,64.586,106.964,263.003,282.582,0.321,2.459,0.735
Nb18Mo57Ta7W18,18,57,7,18,454.92,182.75,101.843,64.133,64.133,64.133,114.39,273.473,301.177,0.316,2.391,0.748
Nb32Mo12Ta38W18,32,12,38,18,339.092,153.363,62.458,65.479,65.483,65.485,73.246,215.273,197.354,0.347,2.939,0.673
Nb44Mo3Ta5W48,44,3,5,48,398.746,169.359,75.568,64.92,64.924,64.919,89.363,245.822,239.115,0.338,2.751,0.659
Nb27Mo7Ta37W29,27,7,37,29,360.268,159.82,72.012,65.308,65.312,65.308,82.223,226.636,220.056,0.338,2.756,0.719
Nb7Mo8Ta84W1,7,8,84,1,281.101,154.287,62.534,66.108,66.105,66.113,62.882,196.559,170.466,0.355,3.126,0.986
Nb4Mo41Ta18W37,4,41,18,37,494.572,195.098,124.368,64.07,64.067,64.068,133.963,294.922,349.04,0.303,2.202,0.831
Nb22Mo12Ta59W7,22,12,59,7,309.096,150.739,59.707,65.809,65.813,65.813,66.858,203.525,180.779,0.352,3.044,0.754
Nb55Mo33Ta2W10,55,33,2,10,362.441,156.44,53.202,65.03,65.026,65.032,69.539,225.107,189.142,0.36,3.237,0.517
Nb46Mo18Ta21W15,46,18,21,15,338.944,150.035,53.532,65.379,65.378,65.381,67.328,213.005,182.73,0.357,3.164,0.567
Nb2Mo5Ta24W69,2,5,24,69,495.792,195.904,126.659,64.221,64.22,64.219,135.51,295.867,352.686,0.301,2.183,0.845
Nb5Mo18Ta69W8,5,18,69,8,331.558,154.721,71.33,65.559,65.553,65.549,77.735,213.667,207.984,0.338,2.749,0.807
Nb33Mo22Ta44W1,33,22,44,1,315.873,146.172,53.134,65.679,65.672,65.672,64.148,202.739,174.083,0.357,3.161,0.626
Nb13Mo8Ta51W28,13,8,51,28,364.76,162.478,79.82,65.285,65.282,65.283,87.76,229.905,233.561,0.331,2.62,0.789
Nb39Mo34Ta3W24,39,34,3,24,412.853,171.746,78.374,64.638,64.641,64.644,93.186,252.115,248.894,0.335,2.705,0.65
Nb64Mo9Ta2W25,64,9,2,25,328.657,146.771,40.949,65.361,65.367,65.365,56.719,207.399,155.942,0.375,3.657,0.45
Nb6Mo4Ta89W1,6,4,89,1,270.277,156.512,62.881,66.232,66.233,66.228,60.409,194.434,164.219,0.359,3.219,1.105
Nb16Mo18Ta3W63,16,18,3,63,496.189,197.174,122.44,64.086,64.087,64.085,132.633,296.846,346.32,0.306,2.238,0.819
Nb38Mo6Ta32W24,38,6,32,24,336.622,153.375,60.092,65.5,65.503,65.501,71.195,214.457,192.304,0.351,3.012,0.656
Nb2Mo36Ta49W13,2,36,49,13,412.254,169.435,93.513,64.815,64.818,64.817,103.825,250.375,273.649,0.318,2.412,0.77
Nb12Mo37Ta36W15,12,37,36,15,414.641,169.888,90.31,64.756,64.756,64.755,102.01,251.473,269.579,0.321,2.465,0.738
Nb49Mo8Ta23W20,49,8,23,20,323.87,147.769,50.008,65.558,65.563,65.559,62.841,206.47,171.158,0.362,3.286,0.568
Nb65Mo14Ta14W7,65,14,14,7,290.14,135.74,29.836,65.749,65.743,65.748,44.161,187.207,122.824,0.391,4.239,0.386
Nb51Mo17Ta19W13,51,17,19,13,327.04,146.642,47.693,65.471,65.47,65.47,61.733,206.775,168.438,0.364,3.349,0.529
Nb37Mo15Ta35W13,37,15,35,13,331.978,151.179,56.884,65.513,65.514,65.513,68.54,211.445,185.568,0.354,3.085,0.629
Nb30Mo5Ta14W51,30,5,14,51,420.196,174.663,89.337,64.771,64.767,64.767,101.483,256.508,268.977,0.325,2.528,0.728
Nb64Mo16Ta16W4,64,16,16,4,288.481,135.281,29.734,65.774,65.772,65.775,43.924,186.348,122.174,0.391,4.242,0.388
Nb29Mo60Ta5W6,29,60,5,6,428.173,175.552,86.436,64.354,64.352,64.353,100.657,259.759,267.428,0.328,2.581,0.684
Nb2Mo30Ta27W41,2,30,27,41,485.266,192.332,121.356,64.252,64.252,64.25,130.846,289.976,341.215,0.304,2.216,0.829
Nb18Mo35Ta36W11,18,35,36,11,391.688,163.485,80.303,64.94,64.939,64.941,92.46,239.553,245.761,0.329,2.591,0.704
Nb11Mo6Ta69W14,11,6,69,14,316.468,157.773,69.291,65.743,65.74,65.743,73.152,210.671,196.691,0.344,2.88,0.873
Nb20Mo58Ta10W12,20,58,10,12,444.024,179.386,96.528,64.254,64.254,64.255,109.542,267.599,289.168,0.32,2.443,0.73
Nb45Mo42Ta8W5,45,42,8,5,379.11,160.985,63.06,64.899,64.897,64.904,78.66,233.693,212.174,0.349,2.971,0.578
Nb18Mo34Ta36W12,18,34,36,12,391.916,163.58,80.527,64.945,64.94,64.943,92.635,239.692,246.189,0.329,2.588,0.705
Nb12Mo34Ta41W13,12,34,41,13,398.503,165.551,85.225,64.903,64.902,64.903,96.599,243.202,255.913,0.325,2.518,0.732
Nb52Mo34Ta11W3,52,34,11,3,345.864,150.522,49.693,65.202,65.2,65.203,65.364,215.636,178.098,0.362,3.299,0.509
Nb21Mo61Ta5W13,21,61,5,13,446.753,180.407,96.997,64.151,64.147,64.149,110.145,269.189,290.775,0.32,2.444,0.728
Nb35Mo1Ta48W16,35,1,48,16,300.868,150.41,54.623,65.906,65.911,65.905,62.105,200.563,168.882,0.36,3.229,0.726
Nb24Mo21Ta10W45,24,21,10,45,448.449,181.662,99.459,64.458,64.457,64.457,111.879,270.591,294.983,0.318,2.419,0.746
Nb69Mo12Ta1W18,69,12,1,18,311.626,140.874,32.43,65.46,65.468,65.466,48.368,197.791,134.169,0.387,4.089,0.38
Nb24Mo24Ta14W38,24,24,14,38,436.321,177.529,94.622,64.551,64.55,64.551,107.275,263.793,283.408,0.321,2.459,0.731
Nb44Mo5Ta27W24,44,5,27,24,330.234,151.011,55.319,65.539,65.539,65.535,67.177,210.752,182.175,0.356,3.137,0.617
Nb19Mo24Ta47W10,19,24,47,10,355.988,156.731,70.267,65.299,65.29,65.298,80.834,223.15,216.376,0.338,2.761,0.705
Nb25Mo21Ta40W14,25,21,40,14,357.41,156.99,68.717,65.278,65.285,65.285,79.956,223.796,214.342,0.34,2.799,0.686
Nb58Mo1Ta36W5,58,1,36,5,262.533,138.781,32.105,66.279,66.278,66.28,41.885,180.032,116.611,0.392,4.298,0.519
Nb23Mo27Ta8W42,23,27,8,42,455.009,183.702,101.968,64.369,64.368,64.366,114.328,274.138,301.123,0.317,2.398,0.752
Nb21Mo10Ta16W53,21,10,16,53,444.627,180.636,100.687,64.556,64.556,64.554,112.226,268.633,295.524,0.317,2.394,0.763
Nb25Mo50Ta3W22,25,50,3,22,447.745,181.59,96.484,64.236,64.235,64.235,109.765,270.308,290.036,0.321,2.463,0.725
Nb40Mo17Ta5W38,40,17,5,38,408.199,170.666,78.285,64.769,64.771,64.773,92.561,249.844,247.16,0.335,2.699,0.659
Nb9Mo55Ta2W34,9,55,2,34,485.638,191.431,118.913,63.792,63.79,63.791,129.487,289.5,338.059,0.305,2.236,0.808
Nb5Mo20Ta18W57,5,20,18,57,501.339,197.868,127.569,64.135,64.133,64.134,136.743,299.025,355.967,0.302,2.187,0.841
Nb53Mo26Ta16W5,53,26,16,5,327.335,145.312,44.879,65.41,65.407,65.407,59.813,205.986,163.603,0.368,3.444,0.493
Nb38Mo23Ta4W35,38,23,4,35,416.484,172.98,81.449,64.676,64.674,64.673,95.725,254.148,255.142,0.333,2.655,0.669
Nb20Mo7Ta25W48,20,7,25,48,422.311,174.657,93.818,64.766,64.767,64.764,104.855,257.209,276.934,0.321,2.453,0.758
Nb2Mo28Ta21W49,2,28,21,49,503.054,198.31,128.946,64.109,64.109,64.11,137.856,299.891,358.617,0.301,2.175,0.846
Nb58Mo25Ta8W9,58,25,8,9,332.805,146.848,43.641,65.318,65.312,65.312,59.388,208.834,162.738,0.37,3.516,0.469
Nb15Mo3Ta13W69,15,3,13,69,476.189,190.188,115.457,64.329,64.329,64.329,125.784,285.522,329.035,0.308,2.27,0.807
Nb25Mo9Ta53W13,25,9,53,13,317.772,152.326,61.471,65.728,65.721,65.733,69.241,207.475,186.929,0.35,2.996,0.743
Nb14Mo11Ta23W52,14,11,23,52,449.786,181.824,104.87,64.53,64.529,64.531,115.683,271.145,303.839,0.313,2.344,0.783
Nb60Mo20Ta1W19,60,20,1,19,347.274,151.905,47.114,65.184,65.182,65.184,63.38,217.028,173.274,0.367,3.424,0.482
Nb32Mo23Ta9W36,32,23,9,36,422.585,174.093,86.425,64.647,64.641,64.643,99.98,256.924,265.502,0.328,2.57,0.696
Nb62Mo11Ta2W25,62,11,2,25,337.049,149.225,44.395,65.297,65.301,65.304,60.232,211.833,165.052,0.37,3.517,0.473
Nb25Mo40Ta19W16,25,40,19,16,416.297,170.975,85.486,64.663,64.666,64.666,98.818,252.749,262.273,0.327,2.558,0.697
Nb2Mo16Ta63W19,2,16,63,19,362.062,160.763,81.59,65.272,65.268,65.273,88.745,227.863,235.644,0.328,2.568,0.811
Nb12Mo45Ta21W22,12,45,21,22,454.752,182.274,104.704,64.35,64.345,64.348,116.353,273.1,305.651,0.313,2.347,0.769
Nb33Mo16Ta8W43,33,16,8,43,424.02,175.051,87.274,64.664,64.665,64.663,100.642,258.04,267.189,0.327,2.564,0.701
Nb20Mo50Ta8W22,20,50,8,22,452.519,182.368,100.522,64.229,64.229,64.229,113.162,272.418,298.196,0.318,2.407,0.744
Nb13Mo33Ta14W40,13,33,14,40,474.289,189.073,112.998,64.229,64.229,64.229,124.037,284.145,324.844,0.309,2.291,0.792
Nb13Mo7Ta20W60,13,7,20,60,462.941,185.86,110.587,64.436,64.434,64.436,121.032,278.22,317.113,0.31,2.299,0.798
Nb28Mo6Ta1W65,28,6,1,65,463.496,187.721,105.598,64.385,64.389,64.385,117.513,279.646,309.224,0.316,2.38,0.766
Nb1Mo11Ta9W79,1,11,9,79,542.159,211.623,146.813,63.833,63.834,63.835,153.936,321.802,398.299,0.294,2.09,0.888
Nb7Mo51Ta25W17,7,51,25,17,460.811,183.855,108.728,64.299,64.299,64.3,119.789,276.174,313.972,0.311,2.306,0.785
Nb30Mo20Ta42W8,30,20,42,8,332.194,150.379,59.606,65.527,65.521,65.52,70.627,210.984,190.611,0.349,2.987,0.656
Nb71Mo14Ta6W9,71,14,6,9,289.448,134.261,25.212,65.672,65.671,65.675,40.352,185.99,112.891,0.399,4.609,0.325
Nb57Mo7Ta28W8,57,7,28,8,282.619,138.44,35.136,65.966,65.968,65.977,47.058,186.5,130.222,0.384,3.963,0.487
Nb3Mo38Ta24W35,3,38,24,35,486.301,192.458,121.094,64.187,64.19,64.191,130.839,290.406,341.265,0.304,2.22,0.824
Nb26Mo43Ta28W3,26,43,28,3,387.128,161.893,74.533,64.929,64.927,64.927,87.979,236.971,234.872,0.335,2.693,0.662
Nb42Mo3Ta10W45,42,3,10,45,390.255,166.795,73.862,65,64.999,65,87.228,241.282,233.54,0.339,2.766,0.661
Nb2Mo12Ta65W21,2,12,65,21,356.19,161.033,81.231,65.337,65.341,65.339,87.418,226.085,232.312,0.329,2.586,0.832
Nb29Mo20Ta29W22,29,20,29,22,375.302,160.273,72.613,65.108,65.111,65.103,85.011,231.949,227.268,0.337,2.728,0.675
Nb32Mo28Ta6W34,32,28,6,34,429.907,176.42,88.484,64.553,64.55,64.553,102.212,260.916,271.219,0.327,2.553,0.698
Nb8Mo34Ta29W29,8,34,29,29,451.8,181.459,105.765,64.462,64.467,64.461,116.686,271.573,306.203,0.312,2.327,0.782
Nb35Mo34Ta15W16,35,34,15,16,395.089,165.523,74.061,64.831,64.839,64.843,88.33,242.045,236.251,0.337,2.74,0.645
Nb31Mo9Ta35W25,31,9,35,25,352.048,156.97,67.276,65.368,65.373,65.368,78.095,221.996,209.695,0.343,2.843,0.69
Nb22Mo25Ta26W27,22,25,26,27,408.468,168.814,85.429,64.807,64.806,64.806,97.85,248.699,259.514,0.326,2.542,0.713
Nb26Mo9Ta34W31,26,9,34,31,372.431,161.832,75.382,65.185,65.192,65.188,86.198,232.031,230.101,0.335,2.692,0.716
Nb27Mo29Ta18W26,27,29,18,26,413.214,170.32,84.624,64.73,64.723,64.722,97.829,251.285,259.775,0.328,2.569,0.697
Nb33Mo35Ta13W19,33,35,13,19,405.742,168.373,78.635,64.737,64.737,64.739,92.78,247.496,247.423,0.333,2.668,0.663
Nb31Mo28Ta10W31,31,28,10,31,422.184,173.64,86.087,64.628,64.628,64.626,99.756,256.488,264.922,0.328,2.571,0.693
Nb16Mo31Ta27W26,16,31,27,26,426.578,173.828,93.608,64.649,64.642,64.649,105.577,258.078,278.724,0.32,2.444,0.741
Nb34Mo28Ta18W20,34,28,18,20,389.085,163.353,73.318,64.922,64.92,64.921,87.203,238.597,233.199,0.337,2.736,0.65
Nb30Mo16Ta20W34,30,16,20,34,399.445,167.354,80.432,64.897,64.899,64.896,93.183,244.717,248.063,0.331,2.626,0.693
Nb31Mo27Ta32W10,31,27,32,10,358.633,155.036,65.372,65.229,65.234,65.237,78.117,222.902,209.838,0.343,2.853,0.642
Nb21Mo25Ta33W21,21,25,33,21,391.177,164.025,80.16,64.971,64.971,64.969,92.189,239.742,245.144,0.33,2.601,0.706
Nb34Mo8Ta33W25,34,8,33,25,347.663,155.839,64.729,65.398,65.404,65.409,75.804,219.781,203.963,0.345,2.899,0.675
Nb58Mo1Ta15W26,58,1,15,26,314.041,145.129,43.093,65.605,65.61,65.611,56.615,201.433,155.295,0.372,3.558,0.51
Nb7Mo20Ta56W17,7,20,56,17,367.676,160.405,79.988,65.22,65.213,65.214,88.734,229.495,235.811,0.329,2.586,0.772
Nb2Mo3Ta38W57,2,3,38,57,449.732,183.038,110.752,64.586,64.586,64.583,119.297,271.936,312.234,0.309,2.279,0.831
Nb51Mo9Ta5W35,51,9,5,35,370.829,160.101,61.616,65.09,65.091,65.091,76.502,230.343,206.63,0.35,3.011,0.585
Nb4Mo44Ta4W48,4,44,4,48,510.997,199.77,132.558,63.739,63.74,63.739,141.345,303.512,367.055,0.298,2.147,0.852
