formula,Nb,Mo,Ta,W,C11,C12,C44,a,b,c,G,B,E,v,Pugh,Zener
Nb30Mo34Ta8W28,30,34,8,28,429.132,175.806,88.395,64.534,64.531,64.533,102.124,260.248,270.933,0.326,2.548,0.698
Nb31Mo23Ta25W21,31,23,25,21,381.244,162.256,72.768,65.026,65.026,65.028,85.751,235.252,229.383,0.337,2.743,0.665
Nb19Mo11Ta35W35,19,11,35,35,394.037,167.03,84.466,65.001,64.999,65.001,95.088,242.699,252.313,0.327,2.552,0.744
Nb18Mo35Ta19W28,18,35,19,28,441.071,178.392,97.856,64.486,64.487,64.486,110.109,265.951,290.268,0.318,2.415,0.745
Nb28Mo9Ta33W30,28,9,33,30,368.509,160.805,73.311,65.218,65.226,65.216,84.306,230.04,225.385,0.337,2.729,0.706
Nb14Mo26Ta26W34,14,26,26,34,437.973,177.372,98.967,64.578,64.573,64.575,110.5,264.239,290.944,0.316,2.391,0.76
Nb35Mo20Ta19W26,35,20,19,26,384.18,162.617,72.455,65.005,64.995,64.998,85.939,236.471,229.959,0.338,2.752,0.654
Nb25Mo30Ta10W35,25,30,10,35,441.825,179.442,95.7,64.462,64.462,64.46,108.605,266.903,286.9,0.321,2.458,0.729
Nb12Mo24Ta32W32,12,24,32,32,427.514,174.343,96.256,64.68,64.679,64.68,107.424,258.733,283.092,0.318,2.409,0.76
Nb28Mo31Ta24W17,28,31,24,17,392.348,163.935,76.86,64.907,64.91,64.91,90.112,240.072,240.274,0.333,2.664,0.673
Nb32Mo35Ta24W9,32,35,24,9,378.269,159.762,69.897,65.012,65.005,65.011,83.652,232.598,224.091,0.339,2.781,0.64
Nb7Mo31Ta32W30,7,31,32,30,447.129,180.048,104.568,64.519,64.517,64.519,115.331,269.075,302.739,0.312,2.333,0.783
Nb14Mo23Ta34W29,14,23,34,29,413.478,170.519,90.79,64.795,64.796,64.793,102.031,251.505,269.63,0.321,2.465,0.747
Nb34Mo11Ta20W35,34,11,20,35,386.599,164.425,75.359,65.018,65.029,65.023,88.068,238.483,235.247,0.336,2.708,0.678
Nb20Mo17Ta31W32,20,17,31,32,401.206,167.816,85.14,64.904,64.907,64.904,96.614,245.613,256.243,0.326,2.542,0.73
Nb31Mo5Ta32W32,31,5,32,32,361.577,160.1,70.938,65.292,65.293,65.292,81.658,227.259,218.772,0.34,2.783,0.704
Nb19Mo18Ta33W30,19,18,33,30,399.041,167.014,84.629,64.925,64.928,64.925,96.041,244.356,254.747,0.326,2.544,0.729
Nb27Mo22Ta21W30,27,22,21,30,405.746,168.479,82.732,64.82,64.822,64.823,95.609,247.568,254.115,0.329,2.589,0.697
Nb26Mo32Ta31W11,26,32,31,11,378.584,160.024,73.083,65.045,65.04,65.046,85.903,232.877,229.491,0.336,2.711,0.669
Nb25Mo6Ta34W35,25,6,34,35,377.139,163.851,78.046,65.163,65.168,65.164,88.454,234.947,235.775,0.333,2.656,0.732
Nb26Mo31Ta31W12,26,31,31,12,378.776,160.144,73.298,65.046,65.045,65.047,86.065,233.022,229.892,0.336,2.708,0.671
Nb11Mo20Ta35W34,11,20,35,34,422.071,173.194,95.266,64.739,64.739,64.738,106.029,256.153,279.521,0.318,2.416,0.766
Nb28Mo35Ta23W14,28,35,23,14,394.828,164.557,77.167,64.872,64.868,64.869,90.624,241.314,241.624,0.333,2.663,0.67
Nb33Mo30Ta31W6,33,30,31,6,354.3,153.475,62.585,65.257,65.253,65.256,75.702,220.416,203.778,0.346,2.912,0.623
Nb20Mo29Ta21W30,20,29,21,30,429.291,174.857,93.3,64.61,64.608,64.608,105.652,259.668,279.104,0.321,2.458,0.733
Nb33Mo17Ta34W16,33,17,34,16,346.639,153.59,62.816,65.38,65.382,65.381,74.658,217.94,201.019,0.346,2.919,0.651
Nb34Mo32Ta23W11,34,32,23,11,374.307,158.802,68.088,65.051,65.046,65.049,81.899,230.637,219.694,0.341,2.816,0.632
Nb26Mo5Ta34W35,26,5,34,35,373.276,163.268,76.752,65.201,65.2,65.194,87.03,233.271,232.213,0.334,2.68,0.731
Nb35Mo18Ta21W26,35,18,21,26,378.468,161.179,70.916,65.059,65.063,65.059,84.182,233.609,225.463,0.339,2.775,0.653
Nb5Mo29Ta34W32,5,29,34,32,449.407,180.802,106.402,64.515,64.518,64.515,116.804,270.337,306.297,0.311,2.314,0.792
Nb34Mo32Ta19W15,34,32,19,15,385.732,162.228,71.698,64.938,64.935,64.936,85.709,236.729,229.437,0.338,2.762,0.642
Nb13Mo23Ta29W35,13,23,29,35,433.21,176.07,97.935,64.632,64.63,64.632,109.221,261.783,287.657,0.317,2.397,0.762
Nb20Mo34Ta18W28,20,34,18,28,437.279,177.315,95.613,64.518,64.516,64.515,108.141,263.97,285.444,0.32,2.441,0.736
Nb15Mo32Ta19W34,15,32,19,34,453.334,182.226,103.876,64.412,64.409,64.41,115.567,272.595,303.773,0.314,2.359,0.766
Nb19Mo32Ta31W18,19,32,31,18,403.667,167.034,84.283,64.841,64.835,64.84,96.569,245.911,256.174,0.326,2.546,0.712
Nb35Mo26Ta23W16,35,26,23,16,371.377,158.517,67.657,65.097,65.095,65.098,81.182,229.47,217.856,0.342,2.827,0.636
Nb26Mo31Ta23W20,26,31,23,20,402.282,166.846,80.964,64.823,64.823,64.827,94.092,245.325,250.278,0.33,2.607,0.688
Nb30Mo22Ta28W20,30,22,28,20,374.491,159.832,71.536,65.105,65.101,65.101,84.2,231.385,225.276,0.338,2.748,0.667
Nb32Mo21Ta34W13,32,21,34,13,349.492,153.567,63.255,65.341,65.339,65.339,75.419,218.875,202.946,0.345,2.902,0.646
Nb7Mo33Ta26W34,7,33,26,34,465.395,185.778,111.44,64.359,64.359,64.361,122.035,278.983,319.518,0.309,2.286,0.797
Nb33Mo27Ta27W13,33,27,27,13,366.421,157.017,66.834,65.149,65.148,65.147,80.06,226.819,214.896,0.342,2.833,0.638
Nb28Mo23Ta27W22,28,23,27,22,384.293,162.405,75.361,65.014,65.015,65.011,88.023,236.367,234.91,0.334,2.685,0.679
Nb26Mo14Ta35W25,26,14,35,25,368.289,160.088,73.157,65.204,65.208,65.204,84.282,229.488,225.267,0.336,2.723,0.703
Nb15Mo23Ta30W32,15,23,30,32,422.389,172.883,93.381,64.717,64.714,64.715,104.877,256.051,276.834,0.32,2.441,0.749
Nb27Mo28Ta28W17,27,28,28,17,384.29,161.876,75.01,65.001,64.995,65.0,87.863,236.014,234.491,0.334,2.686,0.675
Nb23Mo17Ta30W30,23,17,30,30,393.884,165.765,81.52,64.963,64.967,64.967,93.278,241.805,247.952,0.329,2.592,0.715
Nb34Mo10Ta30W26,34,10,30,26,356.273,157.104,66.605,65.312,65.312,65.311,78.286,223.494,210.304,0.343,2.855,0.669
Nb35Mo22Ta21W22,35,22,21,22,377.851,160.6,70.112,65.048,65.05,65.05,83.608,233.017,224.029,0.34,2.787,0.645
Nb16Mo34Ta24W26,16,34,24,26,434.933,176.307,96.329,64.563,64.559,64.56,108.398,262.516,285.851,0.319,2.422,0.745
Nb17Mo33Ta20W30,17,33,20,30,442.99,178.806,98.954,64.485,64.486,64.488,111.1,266.867,292.684,0.317,2.402,0.749
Nb25Mo33Ta29W13,25,33,29,13,387.826,162.43,76.344,64.95,64.956,64.957,89.27,237.562,237.999,0.333,2.661,0.677
Nb18Mo27Ta32W23,18,27,32,23,404.578,167.58,85.601,64.848,64.848,64.852,97.527,246.579,258.501,0.325,2.528,0.722
Nb29Mo27Ta16W28,29,27,16,28,412.258,170.284,83.54,64.733,64.73,64.734,96.932,250.942,257.624,0.329,2.589,0.69
Nb15Mo26Ta34W25,15,26,34,25,409.5,169.123,88.563,64.818,64.819,64.817,100.097,249.249,264.839,0.323,2.49,0.737
Nb30Mo19Ta21W30,30,19,21,30,396.032,166.01,78.759,64.914,64.916,64.914,91.691,242.684,244.304,0.332,2.647,0.685
Nb16Mo32Ta18W34,16,32,18,34,451.982,181.83,102.905,64.413,64.413,64.413,114.757,271.881,301.809,0.315,2.369,0.762
Nb10Mo33Ta30W27,10,33,30,27,441.121,178.051,101.011,64.545,64.548,64.547,112.284,265.741,295.265,0.315,2.367,0.768
Nb28Mo13Ta33W26,28,13,33,26,367.957,159.772,72.268,65.209,65.208,65.213,83.667,229.167,223.77,0.337,2.739,0.694
Nb20Mo31Ta20W29,20,31,20,29,432.159,175.707,93.998,64.579,64.577,64.575,106.461,261.191,281.181,0.321,2.453,0.733
Nb22Mo34Ta23W21,22,34,23,21,415.891,170.726,87.065,64.702,64.702,64.705,99.875,252.448,264.716,0.325,2.528,0.71
Nb15Mo20Ta35W30,15,20,35,30,406.753,168.947,88.557,64.86,64.857,64.859,99.661,248.216,263.691,0.323,2.491,0.745
Nb34Mo35Ta8W23,34,35,8,23,415.861,171.861,81.742,64.634,64.636,64.635,96.009,253.194,255.706,0.332,2.637,0.67
Nb31Mo28Ta11W30,31,28,11,30,419.165,172.674,84.893,64.652,64.651,64.653,98.598,254.838,262.005,0.329,2.585,0.689
Nb33Mo31Ta18W18,33,31,18,18,392.346,164.241,74.537,64.882,64.886,64.887,88.436,240.276,236.316,0.336,2.717,0.654
Nb28Mo16Ta33W23,28,16,33,23,367.61,159.198,71.575,65.2,65.206,65.201,83.226,228.669,222.664,0.338,2.748,0.687
Nb14Mo33Ta27W26,14,33,27,26,434.295,175.967,96.89,64.583,64.584,64.583,108.724,262.076,286.547,0.318,2.41,0.75
Nb35Mo35Ta21W9,35,35,21,9,376.695,159.329,68.018,65.011,65.007,65.012,82.137,231.784,220.378,0.342,2.822,0.626
Nb19Mo23Ta24W34,19,23,24,34,425.574,174.017,92.843,64.672,64.676,64.67,104.861,257.869,277.032,0.321,2.459,0.738
Nb31Mo19Ta19W31,31,19,19,31,398.652,166.83,79.27,64.894,64.889,64.888,92.336,244.104,245.99,0.332,2.644,0.684
Nb35Mo18Ta32W15,35,18,32,15,345.788,152.894,61.385,65.378,65.378,65.376,73.62,217.192,198.439,0.348,2.95,0.636
Nb13Mo34Ta28W25,13,34,28,25,434.804,176.188,97.491,64.58,64.582,64.58,109.175,262.393,287.634,0.317,2.403,0.754
Nb27Mo22Ta26W25,27,22,26,25,391.08,164.322,78.033,64.958,64.961,64.955,90.661,239.908,241.555,0.332,2.646,0.688
Nb24Mo32Ta22W22,24,32,22,22,412.03,169.737,85.076,64.743,64.734,64.737,98.041,250.501,260.181,0.327,2.555,0.702
Nb30Mo19Ta22W29,30,19,22,29,393.137,165.187,77.816,64.94,64.945,64.943,90.703,241.17,241.796,0.333,2.659,0.683
Nb32Mo18Ta20W30,32,18,20,30,392.255,165.069,76.738,64.946,64.947,64.948,89.831,240.798,239.688,0.334,2.681,0.676
Nb33Mo7Ta31W29,33,7,31,29,357.614,158.328,68.312,65.318,65.316,65.317,79.492,224.757,213.326,0.342,2.827,0.686
Nb23Mo22Ta22W33,23,22,22,33,417.012,171.653,88.394,64.738,64.74,64.73,100.813,253.439,267.033,0.324,2.514,0.721
Nb31Mo5Ta31W33,31,5,31,33,364.749,160.741,71.835,65.263,65.262,65.265,82.688,228.744,221.388,0.339,2.766,0.704
Nb10Mo35Ta23W32,10,35,23,32,460.845,184.297,108.457,64.364,64.368,64.365,119.54,276.48,313.445,0.311,2.313,0.784
Nb25Mo33Ta16W26,25,33,16,26,424.904,173.752,89.121,64.608,64.606,64.604,102.266,257.469,270.928,0.325,2.518,0.71
Nb35Mo17Ta25W23,35,17,25,23,366.973,158.363,67.791,65.175,65.178,65.177,80.613,227.899,216.333,0.342,2.827,0.65
Nb20Mo30Ta31W19,20,30,31,19,399.958,166.136,82.867,64.873,64.876,64.872,95.138,244.077,252.595,0.328,2.565,0.709
Nb32Mo34Ta14W20,32,34,14,20,406.671,168.566,79.548,64.74,64.74,64.741,93.536,247.934,249.263,0.332,2.651,0.668
Nb34Mo20Ta34W12,34,20,34,12,342.306,152.034,60.392,65.408,65.403,65.401,72.507,215.458,195.581,0.349,2.972,0.635
Nb32Mo8Ta29W31,32,8,29,31,367.168,160.445,71.373,65.227,65.225,65.23,82.813,229.353,221.749,0.339,2.77,0.691
Nb29Mo14Ta33W24,29,14,33,24,364.198,158.725,70.505,65.235,65.242,65.235,82.01,227.216,219.609,0.339,2.771,0.686
Nb23Mo17Ta33W27,23,17,33,27,384.89,163.521,78.847,65.051,65.05,65.049,90.34,237.311,240.502,0.331,2.627,0.712
Nb35Mo32Ta18W15,35,32,18,15,385.172,162.156,71.143,64.938,64.938,64.937,85.239,236.494,228.29,0.339,2.774,0.638
Nb27Mo32Ta30W11,27,32,30,11,378.091,159.913,72.475,65.046,65.041,65.046,85.418,232.639,228.31,0.336,2.724,0.664
Nb27Mo33Ta6W34,27,33,6,34,444.151,180.608,95.471,64.407,64.408,64.407,108.643,268.456,287.187,0.322,2.471,0.725
Nb17Mo20Ta34W29,17,20,34,29,402.603,167.828,86.464,64.894,64.893,64.89,97.741,246.086,258.94,0.325,2.518,0.737
Nb31Mo20Ta23W26,31,20,23,26,386.407,163.17,75.133,64.993,65.0,64.996,88.08,237.582,235.178,0.335,2.697,0.673
Nb31Mo23Ta24W22,31,23,24,22,382.675,161.898,73.408,65.017,65.016,65.017,86.484,235.491,231.154,0.336,2.723,0.665
Nb21Mo34Ta26W19,21,34,26,19,411.05,169.168,85.77,64.757,64.752,64.756,98.449,249.795,261.052,0.326,2.537,0.709
Nb34Mo8Ta26W32,34,8,26,32,368.985,160.495,70.662,65.2,65.205,65.196,82.605,229.992,221.319,0.34,2.784,0.678
Nb23Mo26Ta22W29,23,26,22,29,416.067,171.13,87.607,64.731,64.725,64.727,100.208,252.776,265.535,0.325,2.523,0.715
Nb16Mo21Ta35W28,16,21,35,28,402.721,167.72,86.725,64.886,64.887,64.888,97.955,246.053,259.437,0.324,2.512,0.738
Nb24Mo30Ta17W29,24,30,17,29,426.785,174.325,90.479,64.615,64.612,64.609,103.409,258.478,273.724,0.324,2.5,0.717
Nb35Mo32Ta20W13,35,32,20,13,379.737,160.434,69.288,64.994,64.99,64.991,83.343,233.535,223.447,0.341,2.802,0.632
Nb23Mo29Ta28W20,23,29,28,20,398.365,165.775,81.364,64.879,64.879,64.886,93.905,243.305,249.604,0.329,2.591,0.7
Nb20Mo22Ta23W35,20,22,23,35,424.931,173.837,92.317,64.678,64.679,64.674,104.429,257.535,275.984,0.321,2.466,0.735
Nb10Mo32Ta33W25,10,32,33,25,431.554,175.126,97.575,64.632,64.629,64.63,108.859,260.602,286.662,0.317,2.394,0.761
Nb26Mo21Ta20W33,26,21,20,33,412.242,170.416,85.597,64.77,64.769,64.772,98.322,251.024,260.903,0.327,2.553,0.708
Nb7Mo24Ta35W34,7,24,35,34,438.289,177.563,102.024,64.615,64.606,64.613,112.55,264.471,295.704,0.314,2.35,0.783
Nb32Mo35Ta8W25,32,35,8,25,422.355,173.805,84.966,64.58,64.584,64.583,98.982,256.655,263.12,0.329,2.593,0.684
Nb35Mo13Ta35W17,35,13,35,17,337.435,152.275,60.198,65.479,65.479,65.488,71.571,213.995,193.176,0.35,2.99,0.65
Nb18Mo33Ta23W26,18,33,23,26,430.894,175.086,94.127,64.593,64.592,64.592,106.441,260.356,281.026,0.32,2.446,0.736
Nb13Mo33Ta19W35,13,33,19,35,461.481,184.691,107.692,64.352,64.349,64.351,119.076,276.954,312.449,0.312,2.326,0.778
Nb18Mo31Ta33W18,18,31,33,18,400.993,166.322,83.915,64.869,64.866,64.868,95.994,244.546,254.661,0.326,2.548,0.715
Nb30Mo15Ta34W21,30,15,34,21,357.396,156.841,67.756,65.289,65.298,65.294,79.31,223.693,212.784,0.341,2.82,0.676
Nb29Mo25Ta14W32,29,25,14,32,418.339,172.262,85.906,64.689,64.685,64.685,99.23,254.288,263.424,0.327,2.563,0.698
Nb28Mo19Ta28W25,28,19,28,25,381.605,162.085,75.099,65.051,65.054,65.055,87.46,235.258,233.452,0.335,2.69,0.684
Nb35Mo27Ta13W25,35,27,13,25,400.187,166.972,76.733,64.818,64.815,64.818,90.788,244.71,242.387,0.335,2.695,0.658
Nb35Mo27Ta33W5,35,27,33,5,341.569,150.513,58.388,65.384,65.379,65.388,71.192,214.199,192.274,0.35,3.009,0.611
Nb20Mo26Ta31W23,20,26,31,23,400.539,166.615,83.54,64.883,64.881,64.886,95.615,244.589,253.776,0.327,2.558,0.714
Nb34Mo26Ta31W9,34,26,31,9,350.948,153.064,61.791,65.296,65.297,65.298,74.682,219.025,201.18,0.347,2.933,0.625
Nb31Mo27Ta33W9,31,27,33,9,355.295,154.237,64.328,65.265,65.258,65.267,76.981,221.257,206.942,0.344,2.874,0.64
Nb34Mo25Ta18W23,34,25,18,23,389.628,163.691,73.962,64.932,64.93,64.93,87.689,239.003,234.401,0.337,2.726,0.655
Nb26Mo21Ta28W25,26,21,28,25,388.914,163.788,77.961,64.981,64.993,64.989,90.346,238.83,240.689,0.332,2.643,0.693
Nb17Mo26Ta28W29,17,26,28,29,420.609,172.242,91.57,64.711,64.712,64.718,103.467,255.031,273.425,0.321,2.465,0.737
Nb34Mo26Ta35W5,34,26,35,5,339.044,150.172,58.255,65.419,65.415,65.416,70.763,213.129,191.136,0.351,3.012,0.617
Nb24Mo25Ta31W20,24,25,31,20,386.486,162.714,77.405,65.0,65.005,65.002,89.743,237.305,239.089,0.332,2.644,0.692
Nb17Mo31Ta19W33,17,31,19,33,445.842,179.862,100.315,64.469,64.467,64.468,112.317,268.522,295.719,0.316,2.391,0.754
Nb32Mo17Ta30W21,32,17,30,21,362.064,157.361,67.731,65.228,65.237,65.233,79.954,225.595,214.519,0.342,2.822,0.662
Nb9Mo27Ta30W34,9,27,30,34,445.701,179.69,103.669,64.533,64.531,64.535,114.552,268.36,300.849,0.313,2.343,0.779
Nb29Mo31Ta30W10,29,31,30,10,371.316,158.066,69.471,65.102,65.105,65.107,82.528,229.149,221.046,0.339,2.777,0.652
Nb27Mo23Ta17W33,27,23,17,33,417.224,171.845,86.559,64.714,64.715,64.711,99.564,253.638,264.131,0.326,2.547,0.706
Nb24Mo17Ta29W30,24,17,29,30,393.473,165.712,80.953,64.965,64.967,64.967,92.832,241.632,246.88,0.33,2.603,0.711
Nb19Mo33Ta14W34,19,33,14,34,451.844,182.035,101.692,64.391,64.392,64.39,113.889,271.971,299.816,0.316,2.388,0.754
Nb20Mo32Ta28W20,20,32,28,20,408.644,168.501,85.504,64.786,64.781,64.789,97.981,248.548,259.805,0.326,2.537,0.712
Nb33Mo31Ta7W29,33,31,7,29,422.66,174.145,85.053,64.597,64.593,64.597,99.036,256.983,263.287,0.329,2.595,0.684
Nb26Mo34Ta22W18,26,34,22,18,404.788,167.57,81.51,64.789,64.787,64.791,94.758,246.643,252.001,0.33,2.603,0.687
Nb28Mo8Ta32W32,28,8,32,32,371.603,161.863,74.565,65.193,65.196,65.194,85.499,231.776,228.41,0.336,2.711,0.711
Nb11Mo30Ta29W30,11,30,29,30,440.396,177.925,100.606,64.557,64.56,64.557,111.912,265.416,294.362,0.315,2.372,0.767
Nb30Mo19Ta31W20,30,19,31,20,365.872,158.002,69.369,65.195,65.197,65.196,81.605,227.292,218.647,0.34,2.785,0.667
Nb14Mo28Ta23W35,14,28,23,35,446.655,180.067,101.963,64.493,64.491,64.494,113.52,268.929,298.552,0.315,2.369,0.765
Nb34Mo24Ta16W26,34,24,16,26,395.751,165.726,76.111,64.88,64.877,64.878,89.846,242.401,239.897,0.335,2.698,0.662
Nb28Mo17Ta30W25,28,17,30,25,376.338,161.158,73.917,65.111,65.116,65.114,85.941,232.884,229.582,0.336,2.71,0.687
Nb19Mo33Ta33W15,19,33,33,15,397.672,165.191,82.083,64.89,64.891,64.89,94.381,242.685,250.65,0.328,2.571,0.706
Nb31Mo29Ta35W5,31,29,35,5,349.2,152.402,62.228,65.321,65.316,65.318,74.826,218.001,201.432,0.346,2.913,0.632
Nb35Mo18Ta31W16,35,18,31,16,348.69,153.604,62.188,65.349,65.346,65.35,74.532,218.633,200.78,0.347,2.933,0.638
Nb35Mo31Ta12W22,35,31,12,22,402.56,167.671,77.056,64.779,64.775,64.781,91.278,245.968,243.691,0.335,2.695,0.656
Nb31Mo21Ta33W15,31,21,33,15,355.876,155.213,65.592,65.28,65.281,65.278,77.812,222.1,209.026,0.343,2.854,0.654
Nb34Mo5Ta28W33,34,5,28,33,365.334,161.443,70.119,65.242,65.243,65.24,81.487,229.407,218.581,0.341,2.815,0.688
Nb8Mo27Ta33W32,8,27,33,32,440.285,178.023,101.987,64.582,64.58,64.583,112.791,265.444,296.394,0.314,2.353,0.778
Nb26Mo33Ta30W11,26,33,30,11,381.504,160.723,73.855,65.011,65.012,65.014,86.797,234.317,231.772,0.335,2.7,0.669
Nb26Mo26Ta16W32,26,26,16,32,422.758,173.363,88.566,64.651,64.65,64.655,101.598,256.495,269.244,0.325,2.525,0.71
Nb24Mo34Ta9W33,24,34,9,33,446.282,180.8,97.418,64.401,64.399,64.398,110.285,269.294,291.115,0.32,2.442,0.734
Nb23Mo24Ta24W29,23,24,24,29,410.935,169.647,86.071,64.782,64.784,64.787,98.558,250.077,261.341,0.326,2.537,0.713
Nb16Mo31Ta26W27,16,31,26,27,429.499,174.676,94.641,64.621,64.619,64.62,106.622,259.617,281.349,0.319,2.435,0.743
Nb35Mo24Ta8W33,35,24,8,33,415.283,172.048,82.314,64.696,64.692,64.695,96.285,253.126,256.351,0.331,2.629,0.677
Nb21Mo29Ta30W20,21,29,30,20,399.371,165.992,82.479,64.879,64.878,64.881,94.8,243.785,251.765,0.328,2.572,0.707
Nb30Mo10Ta30W30,30,10,30,30,371.368,161.282,72.876,65.189,65.179,65.186,84.396,231.311,225.734,0.337,2.741,0.694
Nb14Mo24Ta33W29,14,24,33,29,416.684,171.248,91.693,64.767,64.762,64.767,103.056,253.06,272.215,0.321,2.456,0.747
Nb29Mo34Ta15W22,29,34,15,22,414.108,170.713,83.508,64.683,64.688,64.688,97.139,251.845,258.218,0.329,2.593,0.686
Nb22Mo34Ta12W32,22,34,12,32,445.676,180.323,98.065,64.42,64.42,64.422,110.7,268.774,292.01,0.319,2.428,0.739
Nb16Mo22Ta29W33,16,22,29,33,421.717,172.926,92.871,64.721,64.722,64.719,104.414,255.857,275.734,0.32,2.45,0.747
Nb25Mo22Ta35W18,25,22,35,18,370.843,159.204,72.659,65.153,65.154,65.153,84.497,229.75,225.809,0.336,2.719,0.687
Nb35Mo8Ta29W28,35,8,29,28,356.428,157.656,66.794,65.315,65.317,65.32,78.355,223.914,210.509,0.343,2.858,0.672
Nb26Mo26Ta18W30,26,26,18,30,417.267,171.653,86.759,64.705,64.704,64.706,99.739,253.525,264.529,0.326,2.542,0.706
Nb34Mo22Ta34W10,34,22,34,10,344.036,152.768,60.363,65.38,65.376,65.376,72.641,216.524,196.003,0.349,2.981,0.631
Nb25Mo9Ta32W34,25,9,32,34,382.216,164.2,78.751,65.1,65.101,65.103,89.72,236.872,238.987,0.332,2.64,0.722
Nb33Mo14Ta22W31,33,14,22,31,383.334,163.307,74.234,65.042,65.047,65.04,86.941,236.65,232.366,0.336,2.722,0.675
Nb17Mo35Ta27W21,17,35,27,21,422.059,172.374,91.207,64.667,64.669,64.665,103.442,255.602,273.439,0.322,2.471,0.731
Nb21Mo26Ta31W22,21,26,31,22,396.896,165.608,81.927,64.912,64.91,64.917,94.079,242.704,249.941,0.328,2.58,0.708
Nb15Mo25Ta28W32,15,25,28,32,428.459,174.471,95.227,64.66,64.655,64.657,106.874,259.134,281.872,0.319,2.425,0.75
Nb18Mo17Ta32W33,18,17,32,33,405.88,169.051,87.526,64.872,64.874,64.87,98.802,247.994,261.657,0.324,2.51,0.739
Nb22Mo33Ta15W30,22,33,15,30,438.355,177.805,95.316,64.499,64.498,64.497,108.038,264.655,285.294,0.32,2.45,0.732
Nb15Mo30Ta27W28,15,30,27,28,430.426,174.974,95.473,64.625,64.618,64.621,107.287,260.124,282.96,0.319,2.425,0.747
Nb10Mo32Ta29W29,10,32,29,29,443.89,178.982,102.119,64.528,64.522,64.524,113.335,267.284,297.901,0.314,2.358,0.771
Nb15Mo30Ta33W22,15,30,33,22,412.698,169.645,89.182,64.78,64.78,64.78,100.964,250.663,267.038,0.322,2.483,0.734
Nb13Mo31Ta34W22,13,31,34,22,416.966,170.893,91.41,64.748,64.743,64.748,102.973,252.917,272.005,0.321,2.456,0.743
Nb33Mo35Ta7W25,33,35,7,25,421.78,173.778,84.293,64.584,64.585,64.581,98.426,256.446,261.787,0.33,2.605,0.68
Nb15Mo21Ta34W30,15,21,34,30,410.026,169.699,89.476,64.831,64.829,64.829,100.703,249.808,266.323,0.322,2.481,0.745
Nb34Mo34Ta18W14,34,34,18,14,388.947,163.12,72.674,64.902,64.901,64.905,86.763,238.396,232.128,0.338,2.748,0.644
Nb26Mo21Ta32W21,26,21,32,21,376.46,160.582,74.085,65.097,65.103,65.104,86.169,232.541,230.088,0.335,2.699,0.686
Nb23Mo29Ta32W16,23,29,32,16,386.373,162.421,77.411,64.991,64.992,64.994,89.777,237.071,239.143,0.332,2.641,0.691
Nb33Mo18Ta14W35,33,18,14,35,406.557,169.336,81.02,64.814,64.814,64.812,94.419,248.41,251.405,0.331,2.631,0.683
Nb22Mo27Ta27W24,22,27,27,24,405.213,167.816,84.107,64.828,64.826,64.832,96.574,246.948,256.311,0.327,2.557,0.709
Nb34Mo28Ta24W14,34,28,24,14,371.977,158.395,67.928,65.092,65.083,65.087,81.487,229.589,218.598,0.341,2.817,0.636
Nb29Mo28Ta19W24,29,28,19,24,403.551,167.589,80.498,64.812,64.809,64.808,93.854,246.243,249.823,0.331,2.624,0.682
Nb13Mo25Ta34W28,13,25,34,28,417.628,171.427,92.247,64.761,64.764,64.757,103.557,253.494,273.437,0.32,2.448,0.749
Nb34Mo19Ta22W25,34,19,22,25,379.019,161.22,71.478,65.053,65.06,65.058,84.657,233.82,226.622,0.338,2.762,0.656
Nb27Mo31Ta12W30,27,31,12,30,429.219,175.489,90.05,64.565,64.56,64.567,103.326,260.065,273.727,0.325,2.517,0.71
Nb23Mo20Ta29W28,23,20,29,28,396.479,166.001,81.884,64.93,64.933,64.928,93.916,242.827,249.573,0.329,2.586,0.711
Nb33Mo18Ta19W30,33,18,19,30,391.602,164.926,76.148,64.952,64.948,64.948,89.338,240.485,238.484,0.335,2.692,0.672
Nb23Mo14Ta34W29,23,14,34,29,382.013,163.438,78.571,65.086,65.089,65.08,89.69,236.296,238.851,0.332,2.635,0.719
Nb35Mo23Ta33W9,35,23,33,9,342.005,151.209,59.367,65.397,65.398,65.392,71.856,214.808,193.942,0.35,2.989,0.622
Nb29Mo5Ta31W35,29,5,31,35,371.91,162.557,74.873,65.204,65.201,65.203,85.646,232.341,228.821,0.336,2.713,0.715
Nb18Mo35Ta12W35,18,35,12,35,459.194,184.449,104.944,64.312,64.314,64.309,116.901,276.031,307.319,0.314,2.361,0.764
Nb23Mo35Ta9W33,23,35,9,33,449.135,181.671,99.001,64.371,64.371,64.371,111.686,270.825,294.565,0.319,2.425,0.74
Nb15Mo32Ta25W28,15,32,25,28,436.005,176.683,97.345,64.564,64.563,64.565,109.198,263.124,287.783,0.318,2.41,0.751
Nb32Mo32Ta11W25,32,32,11,25,414.713,171.349,82.484,64.67,64.667,64.669,96.424,252.47,256.603,0.331,2.618,0.678
Nb24Mo16Ta31W29,24,16,31,29,387.182,164.147,79.179,65.026,65.028,65.026,90.841,238.492,241.821,0.331,2.625,0.71
Nb23Mo29Ta34W14,23,29,34,14,380.036,160.708,75.257,65.051,65.049,65.047,87.538,233.817,233.478,0.334,2.671,0.686
Nb29Mo31Ta26W14,29,31,26,14,383.084,161.342,73.326,64.995,64.99,64.994,86.579,235.256,231.357,0.336,2.717,0.661
